image,label1,label2,label3
/content/drive/MyDrive/Project2_4/images/new1.png,The phone on the left is new,The phone on the left is newer,The phone on the left is the newest
/content/drive/MyDrive/Project2_4/images/new2.png,The phone on the left is new,The phone on the left is newer,The phone on the left is the newest
/content/drive/MyDrive/Project2_4/images/new3.png,The phone on the left is new,The phone on the left is newer,The phone on the left is the newest
/content/drive/MyDrive/Project2_4/images/short hair1.png,The woman's hair is short,The woman's hair is shorter,The woman's hair is the shortest
/content/drive/MyDrive/Project2_4/images/short hair2.png,The woman's hair is short,The woman's hair is shorter,The woman's hair is the shortest
/content/drive/MyDrive/Project2_4/images/short hair3.png,The woman's hair is short,The woman's hair is shorter,The woman's hair is the shortest
/content/drive/MyDrive/Project2_4/images/young boy 3.png,The young boy is crying,The younger boy is crying,The youngest boy is crying
/content/drive/MyDrive/Project2_4/images/young boy1.png,The young boy is crying,The younger boy is crying,The youngest boy is crying
/content/drive/MyDrive/Project2_4/images/young boy2.png,The young boy is crying,The younger boy is crying,The youngest boy is crying
/content/drive/MyDrive/Project2_4/images/apple1.png,Earth is a large planet ,Earth is a larger planet,Earth is the largest planet
/content/drive/MyDrive/Project2_4/images/apple2.png,Earth is a large planet ,Earth is a larger planet,Earth is the largest planet
/content/drive/MyDrive/Project2_4/images/apple3.png,Earth is a large planet ,Earth is a larger planet,Earth is the largest planet
/content/drive/MyDrive/Project2_4/images/banker1.png,The marathon runner in the middle has a good finishing time,The marathon runner in the middle has a better finishing time,The marathon runner in the middle has the best finishing time
/content/drive/MyDrive/Project2_4/images/banker2.png,The marathon runner in the middle has a good finishing time,The marathon runner in the middle has a better finishing time,The marathon runner in the middle has the best finishing time
/content/drive/MyDrive/Project2_4/images/banker3.png,The marathon runner in the middle has a good finishing time,The marathon runner in the middle has a better finishing time,The marathon runner in the middle has the best finishing time
/content/drive/MyDrive/Project2_4/images/big1.png,The old elephant is big,The old elephant is bigger,The old elephant is the biggest
/content/drive/MyDrive/Project2_4/images/big2.png,The old elephant is big,The old elephant is bigger,The old elephant is the biggest
/content/drive/MyDrive/Project2_4/images/big3.png,The old elephant is big,The old elephant is bigger,The old elephant is the biggest
/content/drive/MyDrive/Project2_4/images/green ball2.png,The green ball is small,The green ball is smaller,The green ball is the smallest
/content/drive/MyDrive/Project2_4/images/green ball3.png,The green ball is small,The green ball is smaller,The green ball is the smallest
/content/drive/MyDrive/Project2_4/images/green ball1.png,The green ball is small,The green ball is smaller,The green ball is the smallest
/content/drive/MyDrive/Project2_4/images/bar1.png,The green bar is high,The green bar is higher,The green bar is the highest
/content/drive/MyDrive/Project2_4/images/bar2.png,The green bar is high,The green bar is higher,The green bar is the highest
/content/drive/MyDrive/Project2_4/images/bar3.png,The green bar is high,The green bar is higher,The green bar is the highest
/content/drive/MyDrive/Project2_4/images/old man1.png,The old man is smoking,The older man is smoking,The oldest man is smoking
/content/drive/MyDrive/Project2_4/images/old man2.png,The old man is smoking,The older man is smoking,The oldest man is smoking
/content/drive/MyDrive/Project2_4/images/old man3.png,The old man is smoking,The older man is smoking,The oldest man is smoking
/content/drive/MyDrive/Project2_4/images/queue1.png,The woman is wearing a long coat,The woman is wearing a longer coat,The woman is wearing the longest coat
/content/drive/MyDrive/Project2_4/images/queue2.png,The woman is wearing a long coat,The woman is wearing a longer coat,The woman is wearing the longest coat
/content/drive/MyDrive/Project2_4/images/queue3.png,The woman is wearing a long coat,The woman is wearing a longer coat,The woman is wearing the longest coat
/content/drive/MyDrive/Project2_4/images/red house1.png,The red house is big,The red house is bigger,The red house is the biggest
/content/drive/MyDrive/Project2_4/images/red house2.png,The red house is big,The red house is bigger,The red house is the biggest
/content/drive/MyDrive/Project2_4/images/red house3.png,The red house is big,The red house is bigger,The red house is the biggest
/content/drive/MyDrive/Project2_4/images/rock1.png,The rock is hard,The rock is harder,The rock is the hardest
/content/drive/MyDrive/Project2_4/images/rock2.png,The rock is hard,The rock is harder,The rock is the hardest
/content/drive/MyDrive/Project2_4/images/rock3.png,The rock is hard,The rock is harder,The rock is the hardest
